District,Resilience_Score,Estimated_Change_Intensity,H3_Units,Change_Ratio,Change_Rank
Friedrichshain-Kreuzberg,0.18,14.8,28,0.5285714285714286,1
Mitte,0.15,15.2,53,0.28679245283018867,2
Neukölln,0.22,12.2,61,0.19999999999999998,3
Tempelhof-Schöneberg,0.38,10.5,72,0.14583333333333334,4
Pankow,0.74,11.8,140,0.0842857142857143,5
Lichtenberg,0.58,5.8,71,0.08169014084507042,6
Marzahn-Hellersdorf,0.61,6.1,84,0.07261904761904761,7
Charlottenburg-Wilmersdorf,0.49,4.9,87,0.056321839080459776,8
Spandau,0.88,5.0,124,0.04032258064516129,9
Reinickendorf,0.69,2.3,121,0.019008264462809916,10
Treptow-Köpenick,0.92,4.2,228,0.01842105263157895,11
Steglitz-Zehlendorf,0.85,1.5,140,0.010714285714285714,12
