postal_code,avg_lst,max_lst,min_lst
10115,220.88,223,215
10117,206.19,223,65
10119,211.69,223,64
10178,205.1,238,0
10179,206.77,238,55
10243,220.17,238,65
10245,207.84,238,0
10247,202.0,239,0
10249,184.34,239,0
10315,202.53,239,0
10317,217.46,239,0
10318,215.07,223,100
10319,221.0,238,0
10365,214.67,239,0
10367,224.12,239,89
10369,212.15,239,0
10405,202.14,238,65
10407,217.18,239,65
10409,214.55,223,65
10435,211.88,222,64
10437,221.22,223,218
10439,213.86,223,65
10551,221.1,238,213
10553,215.28,238,0
10555,208.54,238,0
10557,210.37,238,65
10559,214.25,223,65
10585,218.89,222,213
10587,207.36,238,0
10589,221.49,238,0
10623,220.24,222,218
10625,220.39,223,215
10627,206.43,223,64
10629,207.19,223,64
10707,206.97,237,64
10709,196.77,239,0
10711,207.89,239,0
10713,214.14,238,64
10715,201.07,222,65
10717,196.7,237,0
10719,212.96,237,0
10777,162.04,238,0
10779,210.05,238,0
10781,192.66,238,0
10783,181.38,237,0
10785,211.45,237,0
10787,220.16,238,217
10789,224.43,238,218
10823,219.93,237,218
10825,219.23,221,214
10827,212.43,237,65
10829,201.37,237,54
10961,188.57,238,0
10963,195.72,238,0
10965,202.96,238,0
10967,193.4,238,0
10969,221.35,238,0
10997,221.95,239,65
10999,196.4,239,0
12043,210.8,222,64
12045,220.52,223,218
12047,215.61,237,0
12049,207.14,222,64
12051,220.04,222,66
12053,190.73,222,55
12055,197.55,223,64
12057,208.55,222,64
12059,220.0,223,218
12099,209.03,223,64
12101,201.32,222,55
12103,210.4,222,65
12105,208.75,246,0
12107,205.28,246,0
12109,209.66,246,0
12157,220.12,222,218
12159,203.27,223,64
12161,217.79,221,214
12163,218.73,221,216
12165,207.06,221,64
12167,219.82,237,217
12169,220.44,222,218
12203,202.12,238,0
12205,214.41,238,0
12207,209.47,238,0
12209,210.93,223,65
12247,202.04,238,0
12249,215.3,238,65
12277,214.39,238,64
12279,208.17,223,64
12305,217.49,223,100
12307,218.05,223,101
12309,216.85,223,100
12347,216.92,238,0
12349,215.29,237,0
12351,217.43,223,65
12353,214.18,223,65
12355,221.3,238,0
12357,212.73,238,0
12359,219.76,223,212
12435,214.51,223,65
12437,213.51,223,55
12459,209.79,223,65
12487,218.86,239,0
12489,207.15,239,0
12524,222.88,238,216
12526,221.31,223,215
12527,221.81,255,0
12555,217.0,223,100
12557,221.01,238,0
12559,223.44,255,0
12587,221.04,255,100
12589,232.99,255,0
12619,220.67,222,214
12621,220.83,223,209
12623,221.44,255,208
12627,220.96,223,216
12629,221.15,223,218
12679,220.89,223,212
12681,216.43,238,0
12683,214.72,238,0
12685,220.22,223,214
12687,221.36,223,212
12689,221.23,223,218
13051,218.89,223,65
13053,216.36,223,65
13055,214.37,223,100
13057,220.9,223,211
13059,221.4,223,211
13086,219.81,223,212
13088,210.72,223,65
13089,212.36,223,65
13125,221.59,255,0
13127,217.3,223,100
13129,219.11,223,101
13156,212.87,239,0
13158,221.46,239,0
13159,215.19,223,100
13187,221.74,238,217
13189,203.97,223,65
13347,221.62,223,218
13349,211.24,223,65
13351,199.31,223,55
13353,212.81,223,64
13355,220.85,223,218
13357,221.27,223,218
13359,221.02,223,219
13403,209.17,223,65
13405,218.2,223,65
13407,220.05,238,215
13409,221.09,223,214
13435,219.71,223,65
13437,210.57,223,65
13439,221.59,223,217
13465,222.93,255,100
13467,219.45,223,100
13469,211.31,223,65
13503,214.89,223,100
13505,217.58,239,0
13507,214.35,239,0
13509,219.79,238,0
13581,221.31,223,213
13583,221.57,223,218
13585,214.33,223,65
13587,215.35,223,65
13589,218.15,223,101
13591,214.52,223,100
13593,208.41,239,0
13595,213.36,239,0
13597,218.4,223,65
13599,214.26,223,55
13627,211.63,223,64
13629,211.43,223,54
14050,218.26,223,64
14052,212.45,223,65
14053,201.46,223,65
14193,212.59,239,0
14057,209.25,223,64
14059,196.41,223,64
14089,215.21,238,55
14109,213.22,255,65
14129,212.29,239,0
14163,210.71,238,0
14165,217.79,238,101
14167,218.7,238,100
14169,217.36,238,0
14193,212.59,239,0
14195,210.83,223,55
14197,213.12,221,65
14199,209.14,235,64
12439,221.01,223,211
14055,216.89,239,0
15537,255.0,255,255
15566,207.0,207,207
15569,255.0,255,255
